time,xcoord,ycoord,depth
0.016666667,7,15,0
0.016666667,7,4,0
0.016666667,21,4,0
0.016666667,10,17,0
0.016666667,9,10,0.001
0.016666667,19,18,0.066
0.016666667,18,2,0.065
0.016666667,13,9,0.007
0.016666667,21,12,0.001
0.016666667,8,3,0
0.016666667,19,12,0
0.016666667,18,7,0
0.016666667,18,10,0.066
0.016666667,17,5,0.001
0.016666667,14,7,0
0.016666667,3,5,0.001
0.016666667,10,5,0.001
0.016666667,13,5,0
0.016666667,15,18,0.066
0.016666667,6,15,0
0.016666667,17,6,0.065
0.016666667,6,3,0
0.016666667,14,5,0.066
0.016666667,18,15,0
0.016666667,18,19,0
0.016666667,22,24,0
0.016666667,22,23,0.062
0.016666667,18,1,0.001
0.016666667,14,20,0
0.016666667,12,8,0.001
0.016666667,0,18,0.067
0.016666667,13,21,0
0.016666667,17,11,0
0.016666667,5,2,0.001
0.016666667,8,7,0
0.016666667,15,22,0.065
0.016666667,0,16,0.001
0.016666667,1,21,0
0.016666667,11,21,0.001
0.016666667,15,19,0.001
0.016666667,4,1,0
0.016666667,16,8,0.067
0.016666667,10,7,0
0.016666667,10,1,0
0.016666667,5,21,0
0.016666667,17,20,0
0.016666667,11,20,0
0.016666667,16,13,0
0.016666667,1,12,0
0.016666667,0,14,0.066
0.016666667,3,1,0
0.016666667,12,12,0.067
0.016666667,1,14,0
0.016666667,16,1,0
0.016666667,17,22,0
0.016666667,15,2,0.065
0.016666667,13,8,0.058
0.016666667,22,6,0.066
0.016666667,5,0,0.066
0.016666667,14,16,0.066
0.016666667,9,2,0.001
0.016666667,20,10,0
0.016666667,14,19,0.065
0.016666667,19,19,0
0.016666667,22,19,0.066
0.016666667,18,11,0
0.016666667,0,20,0.067
0.016666667,15,20,0
0.016666667,5,18,0.065
0.016666667,1,9,0.008
0.016666667,2,13,0
0.016666667,14,8,0.066
0.016666667,2,4,0
0.016666667,1,1,0.008
0.016666667,2,6,0.065
0.016666667,20,18,0.066
0.016666667,10,12,0
0.016666667,14,12,0.001
0.016666667,12,14,0.066
0.016666667,22,4,0.066
0.016666667,11,23,0.008
0.016666667,8,12,0.001
0.016666667,0,7,0.062
0.016666667,10,9,0
0.016666667,7,22,0.001
0.016666667,3,15,0
0.016666667,5,19,0
0.016666667,18,17,0.001
0.016666667,17,23,0
0.016666667,12,0,0.001
0.016666667,9,5,0.066
0.016666667,2,19,0
0.016666667,17,2,0.001
0.016666667,4,8,0.067
0.016666667,21,1,0.008
0.016666667,5,8,0.067
0.016666667,20,23,0
0.016666667,12,21,0.067
0.016666667,5,24,0.067
0.016666667,0,11,0.067
0.016666667,14,18,0.066
0.016666667,3,20,0.001
0.016666667,0,1,0.063
0.016666667,9,0,0.066
0.016666667,4,19,0
0.016666667,9,15,0
0.016666667,14,15,0
0.016666667,16,7,0
0.016666667,19,4,0
0.016666667,16,5,0
0.016666667,19,17,0.001
0.016666667,17,24,0.067
0.016666667,15,16,0.067
0.016666667,9,4,0
0.016666667,6,21,0.001
0.016666667,21,19,0
0.016666667,2,24,0.066
0.016666667,21,24,0.063
0.016666667,10,19,0.065
0.016666667,11,14,0.001
0.016666667,2,17,0
0.016666667,1,17,0.008
0.016666667,0,13,0.067
0.016666667,0,12,0.067
0.016666667,10,6,0.066
0.016666667,15,12,0
0.016666667,11,19,0.001
0.016666667,4,5,0.065
0.016666667,5,12,0
0.016666667,8,18,0.065
0.016666667,14,9,0.001
0.016666667,16,24,0.067
0.016666667,12,17,0.059
0.016666667,14,11,0
0.016666667,1,18,0
0.016666667,16,3,0
0.016666667,11,17,0.007
0.016666667,6,17,0
0.016666667,2,23,0
0.016666667,5,22,0.001
0.016666667,11,16,0.059
0.016666667,10,20,0.001
0.016666667,15,6,0.066
0.016666667,16,9,0
0.016666667,18,4,0
0.016666667,22,9,0.063
0.016666667,5,5,0.067
0.016666667,19,7,0
0.016666667,3,4,0
0.016666667,16,15,0
0.016666667,8,4,0
0.016666667,4,21,0.001
0.016666667,18,14,0
0.016666667,18,18,0.066
0.016666667,20,8,0.067
0.016666667,7,12,0
0.016666667,13,19,0
0.016666667,15,14,0.065
0.016666667,21,9,0.007
0.016666667,5,3,0
0.016666667,7,20,0.001
0.016666667,6,10,0.066
0.016666667,22,12,0.066
0.016666667,5,4,0
0.016666667,10,16,0.067
0.016666667,2,3,0
0.016666667,12,10,0.067
0.016666667,11,15,0.007
0.016666667,1,16,0.058
0.016666667,1,15,0.008
0.016666667,15,10,0.001
0.016666667,19,5,0
0.016666667,3,10,0.065
0.016666667,19,9,0
0.016666667,4,12,0
0.016666667,10,14,0.066
0.016666667,16,18,0.001
0.016666667,9,19,0
0.016666667,12,9,0.059
0.016666667,13,23,0.008
0.016666667,19,11,0
0.016666667,3,21,0.066
0.016666667,0,19,0.067
0.016666667,20,24,0.067
0.016666667,6,18,0.001
0.016666667,2,5,0.066
0.016666667,19,13,0
0.016666667,7,9,0
0.016666667,21,6,0
0.016666667,6,22,0.065
0.016666667,21,7,0.008
0.016666667,12,24,0.001
0.016666667,7,16,0.067
0.016666667,21,17,0.007
0.016666667,11,12,0
0.016666667,18,12,0
0.016666667,11,8,0.059
0.016666667,7,3,0
0.016666667,6,23,0
0.016666667,22,5,0.066
0.016666667,12,15,0.058
0.016666667,19,1,0
0.016666667,18,21,0.001
0.016666667,2,16,0.066
0.016666667,21,8,0.059
0.016666667,8,19,0
0.016666667,14,24,0.066
0.016666667,10,24,0.067
0.016666667,0,15,0.062
0.016666667,0,5,0.067
0.016666667,13,4,0
0.016666667,19,21,0
0.016666667,21,22,0
0.016666667,15,13,0.001
0.016666667,22,8,0.001
0.016666667,8,24,0.067
0.016666667,6,7,0
0.016666667,16,19,0
0.016666667,14,3,0.065
0.016666667,13,18,0
0.016666667,7,7,0
0.016666667,15,15,0
0.016666667,20,1,0.004
0.016666667,8,1,0
0.016666667,10,18,0.001
0.016666667,7,10,0.001
0.016666667,4,3,0
0.016666667,0,6,0.066
0.016666667,4,2,0.066
0.016666667,2,10,0.001
0.016666667,19,14,0
0.016666667,6,13,0.001
0.016666667,7,13,0.001
0.016666667,1,3,0
0.016666667,1,5,0
0.016666667,0,8,0
0.016666667,20,20,0
0.016666667,22,15,0.062
0.016666667,16,14,0.001
0.016666667,21,13,0.063
0.016666667,6,12,0
0.016666667,13,6,0
0.016666667,4,10,0.001
0.016666667,19,20,0
0.016666667,20,3,0.065
0.016666667,12,5,0.067
0.016666667,7,8,0.067
0.016666667,20,15,0
0.016666667,20,0,0.063
0.016666667,3,8,0.067
0.016666667,7,11,0
0.016666667,17,8,0.067
0.016666667,7,6,0.066
0.016666667,1,22,0
0.016666667,15,8,0.067
0.016666667,2,8,0.066
0.016666667,5,11,0
0.016666667,0,22,0.066
0.016666667,4,18,0
0.016666667,0,0,0
0.016666667,13,7,0.008
0.016666667,3,14,0
0.016666667,21,3,0.001
0.016666667,4,20,0
0.016666667,20,5,0.001
0.016666667,18,3,0
0.016666667,13,13,0
0.016666667,14,6,0.065
0.016666667,0,2,0.067
0.016666667,11,13,0
0.016666667,13,2,0.004
0.016666667,19,22,0
0.016666667,10,23,0
0.016666667,10,15,0
0.016666667,4,24,0.067
0.016666667,9,20,0
0.016666667,10,22,0.001
0.016666667,16,16,0.067
0.016666667,18,6,0.066
0.016666667,20,14,0
0.016666667,13,1,0.008
0.016666667,17,14,0.065
0.016666667,17,10,0.065
0.016666667,2,9,0
